"Longitude","Latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-86.57307,38.780345,12.0833330154419,12.3666667938232,33.2437286376953,931.987915039062,30.5,-6.69999980926514,37.2000007629395,11.75,0.050000112503767,23.2000007629395,0.050000112503767,1167,127,71,18.3623294830322,348,232,320,232
-87.153139,37.62723,13.5458335876465,12.1750001907349,33.5399475097656,910.869873046875,31.3999996185303,-4.90000009536743,36.2999992370605,13.3666667938232,20.0166664123535,24.3666667938232,1.76666676998138,1197,122,76,14.7288246154785,358,258,287,279
-78.83826203,37.09258332,13.658332824707,12.9666662216187,37.4759140014648,820.816772460938,31,-3.59999990463257,34.5999984741211,23.033332824707,5.05000019073486,23.6833324432373,3.35000014305115,1099,107,78,9.6438398361206,299,247,292,252
-80.9826394,34.30697686,16.2416667938232,12.8000001907349,39.5061721801758,741.594787597656,32.2999992370605,-0.100000001490116,32.3999977111816,25.2666664123535,11.8166666030884,25.2666664123535,6.90000009536743,1184,119,75,16.6211585998535,345,251,345,296
-83.58021036,32.84851311,17.970832824707,13.3416662216187,41.6927108764648,721.272399902344,33.5999984741211,1.60000002384186,31.9999980926514,10.3833332061768,18.5666656494141,26.6666660308838,8.85000038146973,1175,129,66,19.9714870452881,370,225,304,346
-87.607831,32.253898,17.7416667938232,13.6833333969116,42.4948272705078,723.460205078125,33.2999992370605,1.10000002384186,32.2000007629395,10.2166662216187,22.9333343505859,26.3833332061768,8.61666679382324,1409,171,71,22.9424533843994,443,257,328,412
-84.82486328,35.47021891,14.4916667938232,13.1333332061768,38.6274490356445,808.876403808594,31.5,-2.5,34,5.94999980926514,20.25,24.3166656494141,4.31666660308838,1418,156,88,16.1646995544434,405,291,321,389
-83.93134286,35.07170978,13.470832824707,14.1083335876465,41.989086151123,756.449401855469,30.1000003814697,-3.5,33.5999984741211,5.43333339691162,14.1499996185303,22.6166667938232,3.9833333492279,1506,161,90,14.886791229248,443,308,374,414
-111.829516,33.488043,21.6708335876465,17.2083339691162,46.8891944885254,763.22119140625,40.5999984741211,3.90000009536743,36.6999969482422,14.0666666030884,24.8166656494141,31.1333332061768,12.6500005722046,249,33,2,46.3982772827148,83,16,58,78
-111.829184,34.89795,15.0458335876465,15.5916662216187,43.1902122497559,777.941528320312,34.9000015258789,-1.20000004768372,36.1000022888184,7.18333339691162,17.6666660308838,24.9333343505859,6.09999990463257,509,61,9,36.0645866394043,162,61,118,149
-101.446998,30.707242,18.1291675567627,15.5250005722046,43.2451286315918,777.242980957031,34.7999992370605,-1.10000002384186,35.8999977111816,23.5,8.18333339691162,27.2666664123535,8.18333339691162,448,78,15,51.4495162963867,182,51,132,51
-102.242925,30.990915,19.0125007629395,15.5250005722046,43.125,777.902587890625,35.7000007629395,-0.300000011920929,36,24.1833324432373,11.1999998092651,28.2999992370605,9.15000057220459,364,73,10,62.6929702758789,168,36,108,40
-102.873772,30.901998,18.466667175293,16.7999992370605,46.1538429260254,746.307067871094,35.7000007629395,-0.699999988079071,36.4000015258789,23.4333343505859,10.7666664123535,27.4500007629395,9,352,71,10,61.2147178649902,155,35,120,39
-104.127639,30.3362,15.7916669845581,18.1166667938232,51.1770248413086,663.283264160156,33,-2.40000009536743,35.4000015258789,22.716667175293,9.10000038146973,23.783332824707,7.55000019073486,407,77,8,77.9795379638672,220,29,198,34
-106.707024,32.336918,15.9166669845581,17.6833343505859,46.7813034057617,789.667175292969,34.9000015258789,-2.90000009536743,37.8000030517578,24.7000007629395,11.533332824707,25.7333335876465,6.31666660308838,267,61,5,74.47705078125,143,20,126,44
-111.585258,32.733692,21.1458339691162,18.6416664123535,47.7991485595703,804.483032226562,41.0999984741211,2.09999990463257,39,30.8500003814697,24.25,30.9333324432373,11.5166664123535,244,41,3,54.7868423461914,95,14,75,71
