Species		-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/Sorghum_halepense-JG_CO_108_C	0.000191799284853284	0.00279461639638286	0.00710264038761251	0.00058560165741354	0.000259125337149281	0.000371846542874492	2.44520078971344e-05	0.000411099580872176	4.40285129697243e-05	0.000183294538309237	5.07301725215894e-05	0.000325321876998242	0.00188148060341257	
4_Transposome/Sorghum_halepense-JG_CO_108_D	0.000209734741324437	0.00236289714849217	0.00600189479903483	0.000516835562769533	0.000289063205304967	0.000345879757080454	3.19408448821617e-05	0.000472716385877832	3.76639241840142e-05	0.000195452586147307	5.80397362555322e-05	0.000318273444564093	0.00204128390038745	
4_Transposome/Sorghum_halepense-JG_CO_108_E	0.000143394682380927	0.00200011550603159	0.00658681750943825	0.000674806918926657	0.000275273139603268	0.000350767217469985	2.93206092608504e-05	0.00045978504182814	5.12395625910471e-05	0.000180291838846589	6.07409931186031e-05	0.000261715168357463	0.00169882338724981	
4_Transposome/Sorghum_halepense-JG_CO_108_F	0.000147701419935127	0.00222702814480936	0.00672967454188118	0.000478236264669481	0.00021123590818854	0.000318093681888141	3.01868113869749e-05	0.000384660415779197	4.24601626420878e-05	0.000168351534489334	4.73097065945824e-05	0.000362754595972316	0.00187418960860684	
4_Transposome/Sorghum_halepense-JG_CO_109_A	0.000238304595516754	0.00249160537925104	0.00918078432515686	0.000560828106921209	0.000228844739809823	0.000387966484981793	2.89692387225827e-05	0.000442611122585552	4.42489274042154e-05	0.000213301462670021	5.01366902752299e-05	0.000331625792228342	0.00227912079033059	
4_Transposome/Sorghum_halepense-JG_CO_109_B	0.000232467978124158	0.00294050965169307	0.00469444230083123	0.000546947663375313	0.000259977109520088	0.000295020231708025	2.83178866200746e-05	0.000416723977328823	4.53266176854354e-05	0.000106103070662142	6.20574192011332e-05	0.00040396377547986	0.00200254236815918	
4_Transposome/Sorghum_halepense-JG_CO_109_C	0.000221364380892303	0.00253372386954429	0.00765049502053747	0.000712108975362445	0.000271140861510718	0.000334212202309696	3.32613573069912e-05	0.00047019345646226	4.28681545540053e-05	0.000116029298888322	5.66073773504005e-05	0.000305615922392307	0.00209610392280891	
4_Transposome/Sorghum_halepense-JG_CO_109_D	0.00021117204537061	0.00238029815817715	0.00521710407473545	0.000689563780209947	0.000244840298023233	0.000362228264529251	2.56099754731889e-05	0.000442574828301029	4.02112870370421e-05	0.000139456788914629	4.64755394543869e-05	0.000354106835213757	0.00181364110744994	
4_Transposome/Sorghum_halepense-JG_CO_109_E	0.000250875065355944	0.00190066148160987	0.00666963292719721	0.000657203618474705	0.000287105897449272	0.00029889296983717	3.2614761198335e-05	0.000382612157888097	4.39867439352121e-05	0.000167845147021955	5.0688963266622e-05	0.000345501954803457	0.00199425603490449	
4_Transposome/Sorghum_halepense-JG_CO_110_A	0.000202302049044476	0.00142968075275278	0.00544217317250094	0.000753532833570275	0.000328712483393276	0.000345710285244058	3.01844234689451e-05	0.000509400776709458	3.76769196918291e-05	0.000261426156424779	7.58805415296663e-05	0.000474568280561872	0.00222988194480767	
4_Transposome/Sorghum_halepense-JG_CO_110_B	0.000212902771874272	0.00198391848960826	0.00538615695089484	0.000628293806465139	0.000303677615088328	0.00038881167785509	3.28821365673242e-05	0.000453447108687536	4.14736516485159e-05	0.000199178627991045	5.94993985112214e-05	0.000395836595148517	0.00210320157076783	
4_Transposome/Sorghum_halepense-JG_CO_110_C	0.000216324055547262	0.00341415607803532	0.0142571148676861	0.000703656474923841	0.000285094770381438	0.00044297464585357	3.4417273098829e-05	0.00054287607241615	4.98964679204553e-05	0.000181658832491357	7.60375537316762e-05	0.000552888861495676	0.00249504219697508	
4_Transposome/Sorghum_halepense-JG_CO_110_D	0.000286614406286646	0.00333019883571858	0.0161865268943955	0.000971448653677987	0.000285230874268315	0.000422324156509048	3.17759604208413e-05	0.00049344122981374	5.24831333409073e-05	0.000243174448610059	7.14183734292366e-05	0.000466847283686391	0.00258150174288071	
4_Transposome/Sorghum_halepense-JG_CO_110_E	0.000208773844308012	0.00215684424475985	0.0101339009501883	0.000680778924005186	0.000327157639533793	0.000391713631466221	2.72371234227751e-05	0.000571220957930096	4.73204021154811e-05	0.000176928884715177	6.13483021231614e-05	0.000497544678305099	0.00227077358823726	
4_Transposome/Sorghum_halepense-JG_CO_111_A	0.000171839218133493	0.00390186459184471	0.0188508721137679	0.000678633413450876	0.000264817833899433	0.000400789948317044	2.96083437222508e-05	0.000446629655875133	4.12256538722108e-05	0.000180143395751286	4.67097239571751e-05	0.000390384855954783	0.00228762768525223	
4_Transposome/Sorghum_halepense-JG_CO_111_B	0.000199648430839474	0.00229937736774087	0.00837582565296858	0.000632330192316271	0.000244081321376067	0.000356004000512297	3.42707624942509e-05	0.000402179570778448	5.13330508212786e-05	0.000124587187336532	4.06571212110512e-05	0.000362706433044408	0.00231259843453411	
