Species		-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/Sorghum_halepense-JG_CO_128_B	0.00145627993634179	0.0905311744691137	0.490906113105516	0.0165423373102621	0.00252063460030909	0.00405402619849472	5.24893897234018e-05	0.00614390965544152	7.04521047685549e-05	0.00114595565987762	0.000129433843401646	0.00494167658751874	0.0363484571397439	
4_Transposome/Sorghum_halepense-JG_CO_128_C	0.00123595142961307	0.0855434228066226	0.474365717041872	0.0153604866761686	0.00258376171853851	0.00376124407879606	4.59846004201642e-05	0.00592119959769396	8.29777653441523e-05	0.00120032619353982	0.000118075667172776	0.00460124831180495	0.0322382316325621	
4_Transposome/Sorghum_halepense-JG_CO_128_D	0.00151075817083888	0.0936519099276776	0.516657178594665	0.0184270007411099	0.00279333161307402	0.00427587771596815	3.83316883824547e-05	0.00668899751753499	8.41579155811928e-05	0.00106361409332057	0.000142034543658118	0.0051359005993104	0.0365717362769358	
4_Transposome/Sorghum_halepense-JG_CO_128_E	0.00151749946351994	0.0906849252234658	0.496720815760108	0.0177010031206314	0.00269157995370366	0.0041416684456184	4.50480099237366e-05	0.00641529967153646	7.95676753301281e-05	0.00155901566007793	0.000134175600627208	0.00529618885538488	0.0359614125613272	
4_Transposome/Sorghum_halepense-JG_CO_131_A	0.000944045241901228	0.0856837296585074	0.447644605492417	0.014513723575238	0.00239121863260087	0.00378131450653053	4.81600396730535e-05	0.00557188849900154	8.28424888913533e-05	0.00100223082533053	0.000134165708089127	0.00473738447384803	0.0317405040813902	
4_Transposome/Sorghum_halepense-JG_CO_131_B	0.00180290150918728	0.0896356016107799	0.501864220809543	0.0177619837546381	0.00294043382151188	0.00420662202584	4.51739356355376e-05	0.00663478340160375	8.55741828134327e-05	0.000984114835425204	0.000139158647065333	0.0052440363860213	0.0363006708807317	
4_Transposome/Sorghum_halepense-JG_CO_131_C	0.00146018385270417	0.0838515766191748	0.455116556123226	0.0165801363563544	0.00269553287753347	0.00379166791902916	4.90105541359219e-05	0.00589685313453086	8.21098929007183e-05	0.0012417948248778	0.00012033324096841	0.00480200901009003	0.0354101928784701	
4_Transposome/Sorghum_halepense-JG_CO_131_D	0.000773309901598559	0.0814143876811383	0.427712840026538	0.014922161234635	0.00260260323137245	0.0035872416971206	4.83627678944993e-05	0.00520639065510165	8.3167196228517e-05	0.000890605784527823	0.000125795715726893	0.00454350601379443	0.03481312858947	
4_Transposome/Sorghum_halepense-JG_CO_131_E	0.00117935791158037	0.087429019494061	0.441126447732101	0.0130591593188042	0.00231818336747992	0.00363504669219385	5.34769003917101e-05	0.00519387897379111	8.57441135289612e-05	0.00105190376029291	0.000140620198304521	0.0042135099825879	0.0354114576519086	
4_Transposome/Sorghum_halepense-JG_CO_132_C	0.00131053453615398	0.0813517058296011	0.426083574912873	0.0148266206298246	0.0022651024155258	0.00370401259436316	7.9583110233643e-05	0.00530253075089244	7.10092489363063e-05	0.00113265229788192	0.000114587198180849	0.00430303387578614	0.0319490525987654	
4_Transposome/Sorghum_halepense-JG_CO_132_D	0.00107968385954771	0.0851443109608491	0.446906741963595	0.0157447265394289	0.00251810642297755	0.00388094467270643	6.77522497170178e-05	0.00569771920470948	7.39019236297289e-05	0.000650803402839994	0.000142291687932307	0.0045460661712873	0.0343963587632537	
4_Transposome/Sorghum_halepense-JG_CO_132_E	0.00119641971798784	0.0809368522080315	0.432986235765493	0.017323520917036	0.00252319391925413	0.00392340802755254	6.38667180348117e-05	0.00564657735146156	6.82494806508437e-05	0.000767579456026196	0.000130457918717448	0.00476881601542765	0.0318724225060089	
4_Transposome/Sorghum_halepense-JG_CO_132_F	0.000896602081839709	0.0869977171571415	0.454702433986389	0.0159945098890516	0.00243754234841072	0.00382686203465928	6.32795356209744e-05	0.00577290153918148	6.55175867527589e-05	0.00110685127400839	0.00013686043908361	0.00465502000995976	0.03336241270047	
4_Transposome/Sorghum_halepense-JG_CO_132_G	0.00146993129062818	0.0893694628920035	0.475129111956134	0.0188851222459378	0.00245304680254994	0.00415713608739495	5.36730414883515e-05	0.00610651116818485	8.02371073633872e-05	0.00156347398458429	0.00013800587942671	0.0051633964636887	0.0358867411723558	
4_Transposome/Sorghum_halepense-JG_CO_132_H	0.00195776187835399	0.092289536434221	0.487711750612955	0.0177163834015638	0.00271330502478369	0.00416141113241858	5.80103695000168e-05	0.00622115246337971	6.63792260658501e-05	0.0011481280377212	0.000126707644545607	0.00489336532374616	0.0376352648207334	
4_Transposome/Sorghum_halepense-JG_CO_132_I	0.00147043635463222	0.086796889450008	0.476990883035508	0.0185541134554415	0.00277316872230791	0.00403270309622127	5.72359807440884e-05	0.00596708833629788	8.10781598898935e-05	0.00105189583280497	0.000125512186665053	0.00482653334632672	0.0342808620407577	
4_Transposome/Sorghum_halepense-JG_CO_132_J	0.00128498183120818	0.082478148300427	0.437313365820807	0.0161978866367475	0.00221081238325771	0.00381872035612628	6.84521847170304e-05	0.00534419442595585	6.09822627333682e-05	0.00123822259328581	0.000128046624439131	0.00461712622850051	0.0327621020677353	
