Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_092_D	0.00120738910154197	0.101737330141686	0.527981128231278	0.0191462483323556	0.00293196834784049	0.00489585843204723	3.38331216207397e-05	0.00693694283399581	7.78625982925944e-05	0.001285181826099	0.000171094502062214	0.0057554450491475	0.0358296593220609
4_Transposome/JG_CO_092_E	0.00181749516848529	0.101651719123767	0.53148269673553	0.0187800252515652	0.00317042727805426	0.00489657868447884	4.18774395994796e-05	0.00713847479266601	7.70736613247798e-05	0.00132145161133131	0.000173412724481593	0.00585905914363162	0.0350452603591046
4_Transposome/JG_CO_092_F	0.0012855572645442	0.0982402527708832	0.519765816700285	0.0179256629098568	0.00297536168532484	0.00476527634716916	3.50389989043742e-05	0.00700360189031141	9.07771750124357e-05	0.0016560946911573	0.000175068730399589	0.0055796113902549	0.0343900794470796
4_Transposome/JG_CO_093_A	0.00137704941782501	0.102064612862063	0.543458994864841	0.0197975957384924	0.00316753988175617	0.00495973615791098	3.30074199412842e-05	0.00716793842281529	8.90364887941104e-05	0.00171126758814707	0.000171019512132508	0.00590412054753574	0.0358404577460552
4_Transposome/JG_CO_093_B	0.00191474565638866	0.104594931435982	0.565770265154895	0.0200661014199566	0.00322517639228516	0.00530254686949129	3.89728486845004e-05	0.00743315495652877	7.55289232764177e-05	0.00155828720983272	0.000178632720860876	0.0062024090939456	0.0355648856690598
4_Transposome/JG_CO_093_C	0.00199885691117403	0.0894398813777197	0.449235794164573	0.0138383207506312	0.00248679333323939	0.00408313125507572	5.34964347960106e-05	0.00564270688233665	8.99857288188363e-05	0.00102387096037128	0.000150144236508838	0.00454564263856505	0.0317500380202478
4_Transposome/JG_CO_093_E	0.00192546116266838	0.10580238063398	0.553764908945401	0.0199267279071162	0.00326421535503627	0.00485568832017011	3.67342610177894e-05	0.00726422714115597	8.75545790141595e-05	0.00183942882312661	0.000181797269235862	0.00618751531281624	0.0370733890954597
4_Transposome/JG_CO_095_A	0.00141818433261267	0.0978962894686995	0.506096850377159	0.017352989138031	0.00292641823083047	0.00460378764708318	4.39733815093738e-05	0.0065688837733603	8.87245764336422e-05	0.00146680433150808	0.000160011145930745	0.00566822229621679	0.0344275382170456
4_Transposome/JG_CO_095_B	0.00176973962693122	0.0995588721225224	0.529775968060271	0.0191030151876715	0.00305546291688421	0.00491988976306913	4.57014532510845e-05	0.00674249151921764	8.42971186984691e-05	0.00147556449073304	0.000172597038071359	0.00592267231744528	0.0341246283866013
4_Transposome/JG_CO_095_D	0.00212927853072697	0.0977842918789891	0.530432715704999	0.0183167406386388	0.00289331778466747	0.0048661059088821	4.33892294130034e-05	0.00692508214772211	7.52137233061312e-05	0.00163476762250294	0.000179797661563158	0.00552930888822053	0.0344753023233425
4_Transposome/JG_CO_095_E	0.00118580375659121	0.0999228919703973	0.53039776648053	0.0183553154812025	0.00301857364416565	0.00473145713797962	3.62969037174747e-05	0.00682216284943563	9.81324318645198e-05	0.00201707891507661	0.000174818210741101	0.00562969827068089	0.0377438949568699
4_Transposome/JG_CO_098_A	0.00190942825123474	0.0955582073733654	0.496566286082341	0.0188481943624935	0.00282863734637541	0.00477822574210557	5.16848506102258e-05	0.00661414522161463	8.4555586524449e-05	0.00144917584699769	0.000171787982804658	0.0057313311938045	0.0329761151048827
4_Transposome/JG_CO_098_B	0.00188018247930394	0.0932243493850246	0.498432251370049	0.0180196812796211	0.00282953150483927	0.00447869885022441	4.93000786770449e-05	0.00657315115783071	8.23232589916042e-05	0.00141492103926268	0.000162480111924409	0.00525870737776666	0.0334144284932403
4_Transposome/JG_CO_098_C	0.0012976950651602	0.0935341074837432	0.494890483938485	0.018651054909221	0.00299134668118462	0.00471071747949777	5.2337871881037e-05	0.00670674123715742	8.13517857769429e-05	0.00160965310744716	0.000157277362748578	0.00549731657331972	0.0335876451418517
4_Transposome/JG_CO_098_F	0.00174729318438916	0.0868629411345519	0.476816230435087	0.0175080353643369	0.00270355675395583	0.00440838893033424	4.89671543625827e-05	0.00605650057381727	7.13721488148596e-05	0.00103186965217797	0.000155153448648035	0.00514870528004147	0.030332215380181
4_Transposome/JG_CO_099_B	0.00130643822564741	0.102924215337898	0.545388973457027	0.0195278336373125	0.00315575912674102	0.00492731036967805	3.09942218886822e-05	0.00724836531797225	0.000107493678121783	0.00147074908946639	0.000161017396679777	0.00584612720126282	0.0352071225761768
4_Transposome/JG_CO_099_E	0.00153972344145568	0.104724914139629	0.556979833199766	0.019932827279178	0.00317751202750709	0.0050721857490014	3.58345824632265e-05	0.00798407122607137	9.61151033203415e-05	0.00132868675352199	0.000155096179487453	0.00631227693556262	0.035515607943796
4_Transposome/JG_CO_102_A	0.00156659243894084	0.0955138392869153	0.517210332912985	0.0178698164039108	0.00288862130782721	0.004672608346853	4.27297823030631e-05	0.00695669668053001	9.13290248822697e-05	0.00157605890431392	0.000158901560462736	0.00547332743439315	0.0329983235317429
4_Transposome/JG_CO_102_B	0.000995164839851039	0.0876775041574155	0.429106067095938	0.0109315796966846	0.00225570405019094	0.0037082369717501	5.73245795048237e-05	0.00521984294018658	7.83090495400778e-05	0.00086996447598664	0.000127307343012459	0.00382551345860706	0.0330651813408859
