Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_045_G	0.00020308402072879	0.00315931724825799	0.0141452733595582	0.000942990265340033	0.000283432436823719	0.000480763315264604	2.96418216836529e-05	0.000446733223489668	4.30272914074492e-05	0.000201231944374277	6.22215059985583e-05	0.000425974875856198	0.00146373169439494
4_Transposome/JG_CO_045_H	0.000267311566721104	0.00450899016926354	0.0235662461064022	0.00113552548068303	0.000425126521068351	0.000429590885760247	4.31800826238551e-05	0.000532676800351573	3.95743226820675e-05	0.000173978508040596	5.79633554141838e-05	0.000412401146812435	0.00208388649647629
4_Transposome/JG_CO_045_I	0.00016477176918589	0.00213818775888755	0.00815791952819202	0.000653020293956791	0.000275811583175951	0.000362893015711962	3.54789357675744e-05	0.00053903329898136	5.51576247098629e-05	0.000169638890560034	6.26414907916475e-05	0.000399209944038956	0.00176556809474642
4_Transposome/JG_CO_045_J	0.000197043395013087	0.0035559344035646	0.0143710919864686	0.000842350496214617	0.000257323241524389	0.000350171568010352	3.91173664078439e-05	0.000421966404028747	5.29962258919591e-05	0.000185175133769831	6.0306617868124e-05	0.000443286699790776	0.00184203825191602
4_Transposome/JG_CO_045_K	0.00018568628696754	0.00300090199191617	0.0152766159400366	0.000744783068006703	0.000279231871153444	0.000467758538690289	3.26011656539669e-05	0.000365204417374864	6.20976569426719e-05	0.000219161651342213	8.05633501220054e-05	0.000403055029272803	0.00182696895882322
4_Transposome/JG_CO_045_L	0.0002034024526333	0.00219850837460806	0.00609773226575272	0.000809544653621824	0.000327334760741894	0.000332881361168716	2.86601087199065e-05	0.000458019804217814	4.37854691927014e-05	0.000158582618953399	7.14951028944957e-05	0.000430377924571837	0.00190250525121831
4_Transposome/JG_CO_049_A	0.000238477107899973	0.00174301023935621	0.00565170626623386	0.000681111506673413	0.000270541939107174	0.000372704836900358	2.45567152571133e-05	0.000460469763844626	4.30601336246138e-05	0.000177212429944172	5.9738152938108e-05	0.000400191603512723	0.00150357987962903
4_Transposome/JG_CO_049_B	0.000232810100460801	0.00219812312417882	0.00494607260957213	0.000923916130558085	0.000375571893700603	0.00044106665554298	2.77016625928305e-05	0.000539395072686502	5.2939205287386e-05	0.00021732896816406	7.63439652945824e-05	0.000554772906084686	0.00204639027676878
4_Transposome/JG_CO_049_C	0.000229458163600581	0.00208504056173229	0.0055909317172262	0.000822539759707402	0.000301708181768785	0.000406958874270208	2.31119784325697e-05	0.000475174775133274	4.79834874023095e-05	0.000232407680366122	8.270251527325e-05	0.000411991593442679	0.00178977816027706
4_Transposome/JG_CO_054_A	0.000281724097340539	0.00247217437122802	0.00509606092368683	0.000780774528669779	0.000333289503643011	0.000461206760761569	2.90020492585393e-05	0.000569155848339961	5.45388240655457e-05	0.000254169608909304	7.9757215971032e-05	0.000501245201759803	0.00167069036493803
4_Transposome/JG_CO_054_B	0.000274958370553472	0.00214571055207296	0.00533686113786261	0.00068380177628626	0.000365714444320004	0.000519690579679504	4.07607713739475e-05	0.000675824051837966	7.34735791767301e-05	0.000256696876193301	6.9270356803307e-05	0.000475543168493422	0.0016637076407731
4_Transposome/JG_CO_054_C	0.000229893845536321	0.00259039907560955	0.00580699318296308	0.000819084995361497	0.000415108296666304	0.000466799827379498	2.96377946789026e-05	0.00049902882407658	3.88862329354117e-05	0.000172668994279814	7.98964907536227e-05	0.000550224272229537	0.00182269670747671
4_Transposome/JG_CO_054_D	0.000223318412352836	0.00232718980642836	0.00615735614898419	0.000895701406403038	0.000406447245657618	0.000639691095251774	2.52982140108649e-05	0.000634446297558375	5.62778159067975e-05	0.000302394108139713	8.2664725498533e-05	0.000564181013309517	0.00166113663123058
